,ratings,title,review,date,reviewd_by
0,5 out of 5,CM,It's all good features inclusive everything is good ,26-03-2024,26-03-2024by jeremy
1,3 out of 5,hopefully,"Hopefully
",05-01-2024,05-01-2024by hadassah
2,4 out of 5,It’s okay,The issue is with OS I would appreciate if when you type password correct it open instead of being required to touch the open arrow.,29-12-2023,29-12-2023by James Mwanyalo
3,5 out of 5,5star,Good device for that price point,08-12-2023,08-12-2023by Joe
4,1 out of 5,product specification,Kindly be clear on your products how can you sale a phone without a charger?,22-11-2023,22-11-2023by Lilian
5,5 out of 5,I love it,It's good looking,14-11-2023,14-11-2023by Gaylord
6,5 out of 5,Perfect.,Everything works as per the description.,07-11-2023,07-11-2023by Tony
7,5 out of 5,I like it,Good quality first processing and meets my desires,06-11-2023,06-11-2023by Tanui
8,5 out of 5,Love it,Awesome product. More than I expected,06-11-2023,06-11-2023by Design Glocks
9,5 out of 5,A good phone with that price,A good phone with that price.,31-10-2023,31-10-2023by Gregory
10,5 out of 5,CM,It's all good features inclusive everything is good ,26-03-2024,26-03-2024by jeremy
11,3 out of 5,hopefully,"Hopefully
",05-01-2024,05-01-2024by hadassah
12,4 out of 5,It’s okay,The issue is with OS I would appreciate if when you type password correct it open instead of being required to touch the open arrow.,29-12-2023,29-12-2023by James Mwanyalo
13,5 out of 5,5star,Good device for that price point,08-12-2023,08-12-2023by Joe
14,1 out of 5,product specification,Kindly be clear on your products how can you sale a phone without a charger?,22-11-2023,22-11-2023by Lilian
15,5 out of 5,I love it,It's good looking,14-11-2023,14-11-2023by Gaylord
16,5 out of 5,Perfect.,Everything works as per the description.,07-11-2023,07-11-2023by Tony
17,5 out of 5,I like it,Good quality first processing and meets my desires,06-11-2023,06-11-2023by Tanui
18,5 out of 5,Love it,Awesome product. More than I expected,06-11-2023,06-11-2023by Design Glocks
19,5 out of 5,A good phone with that price,A good phone with that price.,31-10-2023,31-10-2023by Gregory
20,5 out of 5,CM,It's all good features inclusive everything is good ,26-03-2024,26-03-2024by jeremy
21,3 out of 5,hopefully,"Hopefully
",05-01-2024,05-01-2024by hadassah
22,4 out of 5,It’s okay,The issue is with OS I would appreciate if when you type password correct it open instead of being required to touch the open arrow.,29-12-2023,29-12-2023by James Mwanyalo
23,5 out of 5,5star,Good device for that price point,08-12-2023,08-12-2023by Joe
24,1 out of 5,product specification,Kindly be clear on your products how can you sale a phone without a charger?,22-11-2023,22-11-2023by Lilian
25,5 out of 5,I love it,It's good looking,14-11-2023,14-11-2023by Gaylord
26,5 out of 5,Perfect.,Everything works as per the description.,07-11-2023,07-11-2023by Tony
27,5 out of 5,I like it,Good quality first processing and meets my desires,06-11-2023,06-11-2023by Tanui
28,5 out of 5,Love it,Awesome product. More than I expected,06-11-2023,06-11-2023by Design Glocks
29,5 out of 5,A good phone with that price,A good phone with that price.,31-10-2023,31-10-2023by Gregory
30,5 out of 5,CM,It's all good features inclusive everything is good ,26-03-2024,26-03-2024by jeremy
31,3 out of 5,hopefully,"Hopefully
",05-01-2024,05-01-2024by hadassah
32,4 out of 5,It’s okay,The issue is with OS I would appreciate if when you type password correct it open instead of being required to touch the open arrow.,29-12-2023,29-12-2023by James Mwanyalo
33,5 out of 5,5star,Good device for that price point,08-12-2023,08-12-2023by Joe
34,1 out of 5,product specification,Kindly be clear on your products how can you sale a phone without a charger?,22-11-2023,22-11-2023by Lilian
35,5 out of 5,I love it,It's good looking,14-11-2023,14-11-2023by Gaylord
36,5 out of 5,Perfect.,Everything works as per the description.,07-11-2023,07-11-2023by Tony
37,5 out of 5,I like it,Good quality first processing and meets my desires,06-11-2023,06-11-2023by Tanui
38,5 out of 5,Love it,Awesome product. More than I expected,06-11-2023,06-11-2023by Design Glocks
39,5 out of 5,A good phone with that price,A good phone with that price.,31-10-2023,31-10-2023by Gregory
40,5 out of 5,CM,It's all good features inclusive everything is good ,26-03-2024,26-03-2024by jeremy
41,3 out of 5,hopefully,"Hopefully
",05-01-2024,05-01-2024by hadassah
42,4 out of 5,It’s okay,The issue is with OS I would appreciate if when you type password correct it open instead of being required to touch the open arrow.,29-12-2023,29-12-2023by James Mwanyalo
43,5 out of 5,5star,Good device for that price point,08-12-2023,08-12-2023by Joe
44,1 out of 5,product specification,Kindly be clear on your products how can you sale a phone without a charger?,22-11-2023,22-11-2023by Lilian
45,5 out of 5,I love it,It's good looking,14-11-2023,14-11-2023by Gaylord
46,5 out of 5,Perfect.,Everything works as per the description.,07-11-2023,07-11-2023by Tony
47,5 out of 5,I like it,Good quality first processing and meets my desires,06-11-2023,06-11-2023by Tanui
48,5 out of 5,Love it,Awesome product. More than I expected,06-11-2023,06-11-2023by Design Glocks
49,5 out of 5,A good phone with that price,A good phone with that price.,31-10-2023,31-10-2023by Gregory
50,5 out of 5,CM,It's all good features inclusive everything is good ,26-03-2024,26-03-2024by jeremy
51,3 out of 5,hopefully,"Hopefully
",05-01-2024,05-01-2024by hadassah
52,4 out of 5,It’s okay,The issue is with OS I would appreciate if when you type password correct it open instead of being required to touch the open arrow.,29-12-2023,29-12-2023by James Mwanyalo
53,5 out of 5,5star,Good device for that price point,08-12-2023,08-12-2023by Joe
54,1 out of 5,product specification,Kindly be clear on your products how can you sale a phone without a charger?,22-11-2023,22-11-2023by Lilian
55,5 out of 5,I love it,It's good looking,14-11-2023,14-11-2023by Gaylord
56,5 out of 5,Perfect.,Everything works as per the description.,07-11-2023,07-11-2023by Tony
57,5 out of 5,I like it,Good quality first processing and meets my desires,06-11-2023,06-11-2023by Tanui
58,5 out of 5,Love it,Awesome product. More than I expected,06-11-2023,06-11-2023by Design Glocks
59,5 out of 5,A good phone with that price,A good phone with that price.,31-10-2023,31-10-2023by Gregory
60,5 out of 5,CM,It's all good features inclusive everything is good ,26-03-2024,26-03-2024by jeremy
61,3 out of 5,hopefully,"Hopefully
",05-01-2024,05-01-2024by hadassah
62,4 out of 5,It’s okay,The issue is with OS I would appreciate if when you type password correct it open instead of being required to touch the open arrow.,29-12-2023,29-12-2023by James Mwanyalo
63,5 out of 5,5star,Good device for that price point,08-12-2023,08-12-2023by Joe
64,1 out of 5,product specification,Kindly be clear on your products how can you sale a phone without a charger?,22-11-2023,22-11-2023by Lilian
65,5 out of 5,I love it,It's good looking,14-11-2023,14-11-2023by Gaylord
66,5 out of 5,Perfect.,Everything works as per the description.,07-11-2023,07-11-2023by Tony
67,5 out of 5,I like it,Good quality first processing and meets my desires,06-11-2023,06-11-2023by Tanui
68,5 out of 5,Love it,Awesome product. More than I expected,06-11-2023,06-11-2023by Design Glocks
69,5 out of 5,A good phone with that price,A good phone with that price.,31-10-2023,31-10-2023by Gregory
70,5 out of 5,CM,It's all good features inclusive everything is good ,26-03-2024,26-03-2024by jeremy
71,3 out of 5,hopefully,"Hopefully
",05-01-2024,05-01-2024by hadassah
72,4 out of 5,It’s okay,The issue is with OS I would appreciate if when you type password correct it open instead of being required to touch the open arrow.,29-12-2023,29-12-2023by James Mwanyalo
73,5 out of 5,5star,Good device for that price point,08-12-2023,08-12-2023by Joe
74,1 out of 5,product specification,Kindly be clear on your products how can you sale a phone without a charger?,22-11-2023,22-11-2023by Lilian
75,5 out of 5,I love it,It's good looking,14-11-2023,14-11-2023by Gaylord
76,5 out of 5,Perfect.,Everything works as per the description.,07-11-2023,07-11-2023by Tony
77,5 out of 5,I like it,Good quality first processing and meets my desires,06-11-2023,06-11-2023by Tanui
78,5 out of 5,Love it,Awesome product. More than I expected,06-11-2023,06-11-2023by Design Glocks
79,5 out of 5,A good phone with that price,A good phone with that price.,31-10-2023,31-10-2023by Gregory
80,5 out of 5,CM,It's all good features inclusive everything is good ,26-03-2024,26-03-2024by jeremy
81,3 out of 5,hopefully,"Hopefully
",05-01-2024,05-01-2024by hadassah
82,4 out of 5,It’s okay,The issue is with OS I would appreciate if when you type password correct it open instead of being required to touch the open arrow.,29-12-2023,29-12-2023by James Mwanyalo
83,5 out of 5,5star,Good device for that price point,08-12-2023,08-12-2023by Joe
84,1 out of 5,product specification,Kindly be clear on your products how can you sale a phone without a charger?,22-11-2023,22-11-2023by Lilian
85,5 out of 5,I love it,It's good looking,14-11-2023,14-11-2023by Gaylord
86,5 out of 5,Perfect.,Everything works as per the description.,07-11-2023,07-11-2023by Tony
87,5 out of 5,I like it,Good quality first processing and meets my desires,06-11-2023,06-11-2023by Tanui
88,5 out of 5,Love it,Awesome product. More than I expected,06-11-2023,06-11-2023by Design Glocks
89,5 out of 5,A good phone with that price,A good phone with that price.,31-10-2023,31-10-2023by Gregory
90,5 out of 5,CM,It's all good features inclusive everything is good ,26-03-2024,26-03-2024by jeremy
91,3 out of 5,hopefully,"Hopefully
",05-01-2024,05-01-2024by hadassah
92,4 out of 5,It’s okay,The issue is with OS I would appreciate if when you type password correct it open instead of being required to touch the open arrow.,29-12-2023,29-12-2023by James Mwanyalo
93,5 out of 5,5star,Good device for that price point,08-12-2023,08-12-2023by Joe
94,1 out of 5,product specification,Kindly be clear on your products how can you sale a phone without a charger?,22-11-2023,22-11-2023by Lilian
95,5 out of 5,I love it,It's good looking,14-11-2023,14-11-2023by Gaylord
96,5 out of 5,Perfect.,Everything works as per the description.,07-11-2023,07-11-2023by Tony
97,5 out of 5,I like it,Good quality first processing and meets my desires,06-11-2023,06-11-2023by Tanui
98,5 out of 5,Love it,Awesome product. More than I expected,06-11-2023,06-11-2023by Design Glocks
99,5 out of 5,A good phone with that price,A good phone with that price.,31-10-2023,31-10-2023by Gregory
100,5 out of 5,CM,It's all good features inclusive everything is good ,26-03-2024,26-03-2024by jeremy
101,3 out of 5,hopefully,"Hopefully
",05-01-2024,05-01-2024by hadassah
102,4 out of 5,It’s okay,The issue is with OS I would appreciate if when you type password correct it open instead of being required to touch the open arrow.,29-12-2023,29-12-2023by James Mwanyalo
103,5 out of 5,5star,Good device for that price point,08-12-2023,08-12-2023by Joe
104,1 out of 5,product specification,Kindly be clear on your products how can you sale a phone without a charger?,22-11-2023,22-11-2023by Lilian
105,5 out of 5,I love it,It's good looking,14-11-2023,14-11-2023by Gaylord
106,5 out of 5,Perfect.,Everything works as per the description.,07-11-2023,07-11-2023by Tony
107,5 out of 5,I like it,Good quality first processing and meets my desires,06-11-2023,06-11-2023by Tanui
108,5 out of 5,Love it,Awesome product. More than I expected,06-11-2023,06-11-2023by Design Glocks
109,5 out of 5,A good phone with that price,A good phone with that price.,31-10-2023,31-10-2023by Gregory
110,5 out of 5,CM,It's all good features inclusive everything is good ,26-03-2024,26-03-2024by jeremy
111,3 out of 5,hopefully,"Hopefully
",05-01-2024,05-01-2024by hadassah
112,4 out of 5,It’s okay,The issue is with OS I would appreciate if when you type password correct it open instead of being required to touch the open arrow.,29-12-2023,29-12-2023by James Mwanyalo
113,5 out of 5,5star,Good device for that price point,08-12-2023,08-12-2023by Joe
