,ratings,title,review,date,reviewd_by
0,5 out of 5,CM,It's all good features inclusive everything is good ,26-03-2024,26-03-2024by jeremy
1,3 out of 5,hopefully,"Hopefully
",05-01-2024,05-01-2024by hadassah
2,4 out of 5,It’s okay,The issue is with OS I would appreciate if when you type password correct it open instead of being required to touch the open arrow.,29-12-2023,29-12-2023by James Mwanyalo
3,5 out of 5,5star,Good device for that price point,08-12-2023,08-12-2023by Joe
4,1 out of 5,product specification,Kindly be clear on your products how can you sale a phone without a charger?,22-11-2023,22-11-2023by Lilian
5,5 out of 5,I love it,It's good looking,14-11-2023,14-11-2023by Gaylord
6,5 out of 5,Perfect.,Everything works as per the description.,07-11-2023,07-11-2023by Tony
7,5 out of 5,I like it,Good quality first processing and meets my desires,06-11-2023,06-11-2023by Tanui
8,5 out of 5,Love it,Awesome product. More than I expected,06-11-2023,06-11-2023by Design Glocks
9,5 out of 5,A good phone with that price,A good phone with that price.,31-10-2023,31-10-2023by Gregory
10,3 out of 5,Just an okay phone,Camera is not as good as I had imagined,16-10-2023,16-10-2023by JANE
11,2 out of 5,I don't like it,"Limited features, the battery over heats when charging.",09-10-2023,09-10-2023by Bwema
12,5 out of 5,Excellent,"Good,plays a good role and the phone is up to the task",09-10-2023,09-10-2023by Daniel
13,1 out of 5,poor network,Sell those covers here we'll buy!  It doesn't have a phone case and I can get a fitting one around here,28-09-2023,28-09-2023by Bernice
14,5 out of 5,I love it,It's good,21-09-2023,21-09-2023by Ignatius
15,5 out of 5,I like it good for internet lovers,Love it,15-09-2023,15-09-2023by Paul
16,5 out of 5,I like it,Perfect,15-09-2023,15-09-2023by Javan
17,5 out of 5,Perfect,Value for your mullah,14-09-2023,14-09-2023by njue
18,5 out of 5,I love the phone,Great phone for the price... Great performance.,14-09-2023,14-09-2023by Emmanuel
19,4 out of 5,I like it,The phone isn't as fast as a comparable flagship phone with similar specs but it's as good,11-09-2023,11-09-2023by Joshua
20,5 out of 5,Lovely,It's a waw although its accessories are not yet in the market,11-09-2023,11-09-2023by George
21,5 out of 5,I like the product it looks nice ????,I found everything great in it that I wanted,11-09-2023,11-09-2023by George McClean Ke
22,4 out of 5,good,Camera ,11-09-2023,11-09-2023by Ambrose
23,5 out of 5,I like it,Quite Good,11-09-2023,11-09-2023by Peter
24,3 out of 5,4g network,The phone specifications were 4g network but it is not available. Why why???only 3g network,08-09-2023,08-09-2023by ndungu waweru
25,4 out of 5,I like it.,"So far so good, a good phone, delivered as advertised, met my expectations,,,, more and more RAM, 8+6,,,and the storage is massive 128, actually i can't complain. Performance is another thing, plus the battery life. Though they should produce the back cover for the phone, we need that.",07-09-2023,07-09-2023by Brian
26,5 out of 5,m5,Iko sawa ,07-09-2023,07-09-2023by Stephen
27,5 out of 5,I like it,"Amazing phone!!
Love everything about it!",04-09-2023,04-09-2023by Buyer6576
28,1 out of 5,camera and battery is a scam,"The battery can't last even a whole day ???? considering it is 5000maH. The camera too is of poor quality. 
Total scam. ",04-09-2023,04-09-2023by Carolyne
29,5 out of 5,large storage,Good in accessing network ,04-09-2023,04-09-2023by Mumo
30,5 out of 5,I like it,The phone has perfect features and working so well. But being a new phone on market it is hard to find its cover.,28-08-2023,28-08-2023by Khainga
31,4 out of 5,phone,Quality phone with a small budget ,24-08-2023,24-08-2023by Elvis
32,5 out of 5,love it,Plays high-end games fast and smoothly. Couldn't have asked for more,11-08-2023,11-08-2023by Christopher
33,5 out of 5,A good device for the price.,"Used it for a couple of months now, and it's okay. ",10-08-2023,10-08-2023by Maria
34,4 out of 5,LOVED IT,"The phone is overall great. the camera set is standard for its price range. no earphones included though. would recommend this over tecno or infinix on the same price range. 
BONUS!!! NO BLOATWARE",07-08-2023,07-08-2023by Stephen
35,5 out of 5,very excellent,"it's performance is very good
",07-08-2023,07-08-2023by Sadiq
36,4 out of 5,I like it,works well to be people who don't load much on phone,04-08-2023,04-08-2023by Tony
37,5 out of 5,my happiness on dealing with jumuia,everything ,27-07-2023,27-07-2023by Antony
38,5 out of 5,????????,Good phone for the price,20-07-2023,20-07-2023by Abdallah
39,4 out of 5,freeyond M5,I would have given 5 ⭐ s  to this phone only that it does not have earphones,19-07-2023,19-07-2023by dr wickedness
40,5 out of 5,Perfomance,Great performance.,18-07-2023,18-07-2023by Christopher
41,5 out of 5,"it's cool, am enjoying the phone",Perfect and arrived on time,17-07-2023,17-07-2023by Geoffrey
42,4 out of 5,freeyond m5,"The product itself is decent and cool for the price, but the one aspect that I found unsatisfactory about this phone is its ability to hold a charge. It tends to discharge quite rapidly, which is disappointing for a 5000 mAh phone.",13-07-2023,13-07-2023by SMA
43,5 out of 5,Freeyond phone,"Speed
Camera
Storage space",11-07-2023,11-07-2023by Oyieyo
44,1 out of 5,Spareparts,"When this phone gets damaged in Kenya for instance the
 charging port or screen there is no replacement of the plate. There are no service centres for this company product's. i have it but there is no help from jumia or the seller. i tried to reach out but there is no assistance. Buy at your own risk. The product performance is good but camera is not okay.",10-07-2023,10-07-2023by Elkana
45,5 out of 5,best budget phone,Beyond expectation. Phone is amazing,10-07-2023,10-07-2023by Aj
46,1 out of 5,dislike,Improve on camera... The camera it's totally poor.. I don't like it,07-07-2023,07-07-2023by Sylvia
47,5 out of 5,Great,The phone is fantastic!!,06-07-2023,06-07-2023by Caleb
48,4 out of 5,freeyond m5,Add headphones and improve on camera and a larger battry,05-07-2023,05-07-2023by Aaron
49,3 out of 5,Lipstics,"Front camera with lipstics, otherwise value for money.",05-07-2023,05-07-2023by Harrison
50,5 out of 5,i like it,quite fast and size okay,04-07-2023,04-07-2023by simon
51,4 out of 5,i like it,Only the camera is not so clear as 50mp,04-07-2023,04-07-2023by Gregory
52,5 out of 5,Best phone,I recommend it,03-07-2023,03-07-2023by POLYCARP
53,4 out of 5,Matches the description,"The only reason it doesn't get a 5 star is coz the wifi connection is not stable, everything else is okay.",03-07-2023,03-07-2023by Chris
54,5 out of 5,Sleek design,"The processing speed, battery durability, every design in it.
Needs to improve on camera to be as the quality of redmi 10c though not bad.
Best quality zooming!",03-07-2023,03-07-2023by NOEL
55,5 out of 5,it  has an essetial qualities.,"Camera, battery, ram storage and internet speed is quite recommendable.",30-06-2023,30-06-2023by Shedrack
56,4 out of 5,try the to make Gyro,try the to make Gyro,30-06-2023,30-06-2023by bilal
57,5 out of 5,good,No complain so far so good,29-06-2023,29-06-2023by Irene
58,4 out of 5,advertise well,Not as advertised,29-06-2023,29-06-2023by Jeremiah
59,3 out of 5,I like it,but the camera night view is not good enough,29-06-2023,29-06-2023by William Munyao
60,5 out of 5,freeyond m5,The phone is nice,29-06-2023,29-06-2023by allan
61,5 out of 5,Mr.,I liked it,27-06-2023,27-06-2023by Francis
62,2 out of 5,I like it,Not 4g,16-06-2023,16-06-2023by Titus
63,5 out of 5,perfect,"Serves well, fast keeps charge clear camera.",15-06-2023,15-06-2023by Hannah
64,1 out of 5,Sorry ????????,???????????? fulltime vibrating,09-06-2023,09-06-2023by Philemon
65,1 out of 5,Poor camera,"The advertising features of the phone is exaggerated. The worst camera ever, no safaricom icon, no earphones and has very few app in. The phone is big for nothing. I have returned the phone and Jumia is forcing me to take it back!! Very awful service!!! I don't want this phone you guys keep it!!!",29-05-2023,29-05-2023by Margaret
66,1 out of 5,Dont Waste your money on this,"The phone is super loud and someone sited 3 meters away from you can hear all your conversation with the other party. It hangs often , overheats with 30 minutes of continuous use, it has a way of pressing random buttons when you are talking , it will shows WIFI to be ON but in truth the Wifi is off and you can only confirm the true status of WIFI from the settings menu, when you close applications there must be one application that is left running and you have no way of closing it.

The features stated on the phone specification are fantastic but the user experience is very poor.Look somewhere else , this is not worth your 15K",22-05-2023,22-05-2023by JOHN
67,3 out of 5,Earphones,Didn't get its earphones why??,12-05-2023,12-05-2023by Peter
68,5 out of 5,Good Product,"The best camera is perfect, the battery life is amazing. good graphics. Its indeed a value for money",12-05-2023,12-05-2023by Dedan
69,2 out of 5,it hangs alot,Improve internet speed,12-05-2023,12-05-2023by Musa
70,4 out of 5,Missing earphones,The phone is in perfect condition and very classy but the earphones were missing although it is indicated that it is in the package.,08-05-2023,08-05-2023by Raphael
71,4 out of 5,Good,Good phone with great features,05-05-2023,05-05-2023by Eric
72,1 out of 5,Substandard item,"This is a substandard product.It overheats, the sound is bad, has poor reception and  camera is pathetic.
Why is Jumia forcing me to take it back?
Worst experience ever from jumia product return.",02-05-2023,02-05-2023by moses
73,5 out of 5,Good Phone,The phone is actually splendid,25-04-2023,25-04-2023by Antony
74,4 out of 5,I like it,Well the more you use it the more you get used to it. Camera not so good.,24-04-2023,24-04-2023by Nelson
75,5 out of 5,I like it,"I took my time to use this product M5 and it is really amazing...it has exited my expectations.
1.The RAM 8GB is real-100%
2.ROM 128GB -100%
3.50MP rear cam i doubt-90%
4.18MW Faster charge is amazing

 What i dislike about this phone is actually none!!
Grab your M5 as soon as possible it won't let you down.
Recommendations -please let the spare parts and covers available",24-04-2023,24-04-2023by Gilbert
76,5 out of 5,So far so good,Sijaona shida,24-04-2023,24-04-2023by Geoffrey
77,5 out of 5,I like it but,Simu ni nzuri shida ni beta,24-04-2023,24-04-2023by Paul
78,5 out of 5,I like it plus i appreciate the delivery person,Its working as expected,17-04-2023,17-04-2023by Litgeve
79,5 out of 5,sleek design,"Cool machine for now.Delivered on time.No earphones though
The company should consider adding a set of earphones in the package",14-04-2023,14-04-2023by Moses
80,5 out of 5,Like it,Exceeded expectations,14-04-2023,14-04-2023by Ian
81,5 out of 5,Love it,The best phone with that price range,06-04-2023,06-04-2023by Evance Alego
82,4 out of 5,50/50,"The hardware is good but the software not so much. I am hoping an upgrade will make it better.Examples are like you switch off wifi but the wifi icon in the notification bar is still on but wifi is off, brightness is a bit too low, hardware can support 50mp but the quality is at best 13mp. There are very few customization choices unless you download your own launcher. You can either have 2 sim cards or one sim card and a memory card. Other promises like fast charging hold true, also does not come with much bloatware (custom apps) so the storage is truly large.",04-04-2023,04-04-2023by Buyer
83,3 out of 5,M5,"Product is nice,ram and rom as stated, the problems are. Heating too much when charging meaning its lifespan is very limited, its android 12 but you cant use hotspot and wifi simultaneously, camera poor.feeling like returning",03-04-2023,03-04-2023by Newton
84,5 out of 5,I like it,Great product .came just as it is shown with all the features and the gifts,31-03-2023,31-03-2023by Luke
85,5 out of 5,absolutely Fabulous,"I love everything about the phone, from battery,storage, performance and everything else",21-03-2023,21-03-2023by Tyras
86,4 out of 5,aGood one but no Ear phones,its a good phone but on the packaging its said to have ear phnones but was delivered without,17-03-2023,17-03-2023by SILAS
87,5 out of 5,Great Item,"I have used it for one month and a few weeks now but the gadget is okay, specs are exactly as advertised. Battery is long lasting, clear camera, the Side fingerprint working well, real RAM and ROM. I would say it is worth the money and I would highly recommend to a friend",17-03-2023,17-03-2023by Syprian
88,4 out of 5,awesome,the phone is great,13-03-2023,13-03-2023by Asumba
